
schema_version,global_row_id,source_batch,source_file,source_row,keyword,normalized_keyword,search_intent,previous_position_raw,current_position_raw,position_change_raw,estimated_google_traffic,traffic_change_raw,search_volume,keyword_difficulty,cpc_usd,pinterest_url,pinterest_result_type,last_update_raw,serp_feature_changes,serp_features_new,serp_features_lost,top10_presence_signal,topic_cluster,content_role,priority_tier,ptra_fit_signal,ptra_fit_level_normalized,recommended_action,final_editorial_action,risk_flag,risk_flag_normalized,risk_reason,duplicate_keyword_count,duplicate_keyword_rank,is_duplicate_keyword,claude_code_instruction
claude_recipe_keyword_master_v1,1,batch_1,claude_code_recipe_keywords_clean (1).csv,1,healthy dinner recipes for two,healthy dinner recipes for two,Informational,0,4,new,3982,0,90500,32,0.11,https://www.pinterest.com/pin/161074124151132878/,pinterest_pin,-180 min,,,,pinterest_in_top_10,Health-focused recipes,recipe_article_candidate,P2,medium,medium,candidate_after_p1,create_after_p1_validation,no,none,,1,1,no,Use as a potential recipe/article brief seed. Validate SERP intent and avoid copying Pinterest board structure.
claude_recipe_keyword_master_v1,2,batch_1,claude_code_recipe_keywords_clean (1).csv,2,cookie recipes,cookie recipes,Informational,0,3,new,3300,0,110000,42,0.13,https://www.pinterest.com/somethingswanky/cookie-recipes/,pinterest_board,3 days,,,,pinterest_in_top_10,Desserts & baking,pillar_or_cluster_taxonomy,PILLAR,medium,medium,use_for_cluster_mapping,use_for_cluster_mapping,no,none,,1,1,no,Use as a parent cluster or taxonomy signal. Do not treat as a single recipe brief without selecting a narrower long-tail angle.
claude_recipe_keyword_master_v1,3,batch_1,claude_code_recipe_keywords_clean (1).csv,3,easy dessert recipes,easy dessert recipes,Informational,4,3,1,1232,0,74000,35,0.06,https://www.pinterest.com/iambaker/easy-dessert-recipes-with-few-ingredients/,pinterest_board,Jul 03,Lost: Video carousel.,,Video carousel,pinterest_in_top_10,Desserts & baking,pillar_or_cluster_taxonomy,PILLAR,medium,medium,use_for_cluster_mapping,use_for_cluster_mapping,no,none,,1,1,no,Use as a parent cluster or taxonomy signal. Do not treat as a single recipe brief without selecting a narrower long-tail angle.
claude_recipe_keyword_master_v1,4,batch_1,claude_code_recipe_keywords_clean (1).csv,4,potato recipes,potato recipes,Informational,2,1,1,1215,0,40500,42,0.05,https://www.pinterest.com/weelicious/potato-recipes/,pinterest_board,Jul 03,"New: Video carousel, Ads middle. Lost: AI Overview.","Video carousel, Ads middle",AI Overview,pinterest_in_top_10,"Sides, casseroles & comfort food",pillar_or_cluster_taxonomy,PILLAR,medium,medium,use_for_cluster_mapping,use_for_cluster_mapping,no,none,,1,1,no,Use as a parent cluster or taxonomy signal. Do not treat as a single recipe brief without selecting a narrower long-tail angle.
claude_recipe_keyword_master_v1,5,batch_1,claude_code_recipe_keywords_clean (1).csv,5,high protein low carb recipes,high protein low carb recipes,Informational,0,1,new,1091,0,4400,34,0.57,https://www.pinterest.com/kitchensanc2ary/low-carb-and-high-protein-meals/,pinterest_board,Jul 02,,,,pinterest_in_top_10,Health-focused recipes,recipe_article_candidate,P1,strong,high,candidate_for_first_batch,create_first_batch,no,none,,1,1,no,Use as a potential recipe/article brief seed. Validate SERP intent and avoid copying Pinterest board structure.
claude_recipe_keyword_master_v1,6,batch_1,claude_code_recipe_keywords_clean (1).csv,6,cookies and recipes,cookies and recipes,Informational,0,4,new,650,0,27100,40,0.13,https://www.pinterest.com/somethingswanky/cookie-recipes/,pinterest_board,Jul 04,,,,pinterest_in_top_10,Desserts & baking,pillar_or_cluster_taxonomy,PILLAR,medium,medium,use_for_cluster_mapping,use_for_cluster_mapping,no,none,,1,1,no,Use as a parent cluster or taxonomy signal. Do not treat as a single recipe brief without selecting a narrower long-tail angle.
claude_recipe_keyword_master_v1,7,batch_1,claude_code_recipe_keywords_clean (1).csv,7,recipes for dinner,recipes for dinner,Informational,0,4,new,650,0,27100,44,0.25,https://www.pinterest.com/wearychef/easy-dinner-recipes/,pinterest_board,Jul 03,,,,pinterest_in_top_10,Meal planning & family meals,pillar_or_cluster_taxonomy,PILLAR,medium,medium,use_for_cluster_mapping,use_for_cluster_mapping,no,none,,1,1,no,Use as a parent cluster or taxonomy signal. Do not treat as a single recipe brief without selecting a narrower long-tail angle.
claude_recipe_keyword_master_v1,8,batch_1,claude_code_recipe_keywords_clean (1).csv,8,lunch recipes,lunch recipes,Informational,0,1,new,643,0,9900,43,0.17,https://www.pinterest.com/sabradips/lunch-ideas/,pinterest_board,2 days,,,,pinterest_in_top_10,Meal planning & family meals,pillar_or_cluster_taxonomy,PILLAR,medium,medium,use_for_cluster_mapping,use_for_cluster_mapping,no,none,,1,1,no,Use as a parent cluster or taxonomy signal. Do not treat as a single recipe brief without selecting a narrower long-tail angle.
claude_recipe_keyword_master_v1,9,batch_1,claude_code_recipe_keywords_clean (1).csv,9,dirty soda recipes,dirty soda recipes,Informational,0,3,new,633,0,18100,23,0.16,https://www.pinterest.com/pin/ultimate-dirty-soda-recipe-list-60-easy-flavors--914862421110920/,pinterest_pin,Jul 04,,,,pinterest_in_top_10,Drinks & beverages,recipe_article_candidate,P2,medium,medium,candidate_after_p1,create_after_p1_validation,no,none,,1,1,no,Use as a potential recipe/article brief seed. Validate SERP intent and avoid copying Pinterest board structure.
claude_recipe_keyword_master_v1,10,batch_1,claude_code_recipe_keywords_clean (1).csv,10,friday evening dinner recipes,friday evening dinner recipes,Informational,2,1,1,618,0,2900,40,0.1,https://www.pinterest.com/kathysh2/friday-night-eatsweekend-meals/,pinterest_board,2 days,,,,pinterest_in_top_10,Seasonal & occasion recipes,recipe_article_candidate,P2,medium,medium,candidate_after_p1,create_after_p1_validation,no,none,,1,1,no,Use as a potential recipe/article brief seed. Validate SERP intent and avoid copying Pinterest board structure.
