Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
georgian traditional dishes,Informational,720,"0.45,1.00,0.76,0.08,0.55,0.67,0.45,0.20,0.30,0.20,0.24,0.30",23,0.00,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",5790000
traditional georgian food,Informational,480,"0.76,0.45,0.55,1.00,0.45,0.45,0.13,0.16,0.13,0.16,0.20,0.24",21,0.00,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Related searches",125
georgian cuisine recipes,Informational,320,"0.23,0.54,0.66,0.54,0.66,0.44,0.35,0.35,1.00,0.35,0.28,0.44",21,0.00,0.33,"Sitelinks, Video, Video carousel, People also ask, Recipes, Related searches",130
georgian recipes,Informational,320,"1.00,0.81,1.00,1.00,0.81,0.81,0.81,1.00,0.66,0.81,0.66,0.81",20,0.00,0.01,"Image, Video, People also ask, Recipes, Related searches",6860000
traditional georgian cuisine,"Informational, Commercial",260,"0.26,1.00,0.32,0.39,0.21,0.48,0.26,0.09,0.09,0.09,0.09,0.14",21,0.00,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",181
georgia country food recipes,Informational,210,"0.29,0.54,0.19,0.19,0.29,0.23,0.36,0.66,0.36,0.19,0.44,1.00",22,0.00,0.33,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches",127
georgian dishes recipes,Informational,140,"0.34,0.80,0.65,0.34,0.53,0.80,0.65,1.00,0.80,0.42,0.26,0.42",16,0.00,0.33,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches",129
republic of georgia food recipes,Informational,140,"0.53,1.00,0.23,0.35,0.23,0.43,0.12,0.35,0.66,0.35,0.82,0.66",12,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Recipes, Related searches",175
republic of georgia recipes,Informational,140,"0.67,0.33,0.42,0.51,1.00,0.33,0.33,0.81,0.81,0.81,0.51,0.81",18,0.00,0.01,"Reviews, Video, Recipes, Related searches",127
traditional georgian dishes,Informational,140,"0.34,0.34,1.00,0.43,0.53,0.53,0.34,0.15,0.15,0.28,0.15,0.28",23,0.00,0.01,"Sitelinks, AI Overview, Image, Video, Video carousel, Short videos, People also ask, Related searches",184
how to apply food stamps in georgia,Informational,90,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",26,1.56,0.09,"Sitelinks, AI Overview, Video, People also ask, Related searches",15700000
how to start a food truck business in georgia,Informational,50,"0.56,0.21,1.00,1.00,1.00,0.56,0.33,0.56,0.56,0.56,0.44,0.44",11,1.42,0.42,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",110
escabeche filipino food recipe,Informational,1900,"0.52,0.66,0.01,0.24,0.52,0.52,0.66,0.66,0.44,0.52,0.80,1.00",28,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",110
recipe embutido filipino food,Informational,1900,"0.13,0.16,0.01,0.07,0.16,0.13,0.24,1.00,0.13,0.13,0.13,0.16",25,0.00,0.00,"AI Overview, Image, Video, Video carousel, Recipes, Related searches",808000
filipino food menudo recipe,Informational,1300,"0.43,0.43,0.01,0.16,0.36,0.43,0.54,0.00,0.43,0.43,0.81,1.00",24,0.00,0.00,"Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",106
