ID,Label,URL,Search Volume,Followers,Taxonomy,Related Interests
897018353770,crock pot recipes for two,https://www.pinterest.com/ideas/crock-pot-recipes-for-two/897018353770,1436,0,"food and drink (https://app.pinclicks.com/keyword/food-and-drink/918530398158)
prepared meals (https://app.pinclicks.com/keyword/prepared-meals/899128095379)
crock pot dinner meals (https://app.pinclicks.com/keyword/crock-pot-dinner-meals/901607162552)","small crockpot recipes for two (https://app.pinclicks.com/keyword/small-crockpot-recipes-for-two/942706412676)
small crock pot recipes (https://app.pinclicks.com/keyword/small-crock-pot-recipes/907167481712)
small crockpot meals (https://app.pinclicks.com/keyword/small-crockpot-meals/924553250856)
meals for two people (https://app.pinclicks.com/keyword/meals-for-two-people/895450591152)
mini crockpot recipes for one (https://app.pinclicks.com/keyword/mini-crockpot-recipes-for-one/939303902566)
simple crock pot meals (https://app.pinclicks.com/keyword/simple-crock-pot-meals/896074413456)
2 person crockpot meals (https://app.pinclicks.com/keyword/2-person-crockpot-meals/916039240730)
easy dinner recipes for family (https://app.pinclicks.com/keyword/easy-dinner-recipes-for-family/909729404599)
meals for 2 people dinners (https://app.pinclicks.com/keyword/meals-for-2-people-dinners/902217040628)
lazy dinners (https://app.pinclicks.com/keyword/lazy-dinners/950074155675)"
899501855385,date night dinner recipes for two,https://www.pinterest.com/ideas/date-night-dinner-recipes-for-two/899501855385,2616,0,"food and drink (https://app.pinclicks.com/keyword/food-and-drink/918530398158)
prepared meals (https://app.pinclicks.com/keyword/prepared-meals/899128095379)
regular meals (https://app.pinclicks.com/keyword/regular-meals/929270982663)","romantic meals for two at home (https://app.pinclicks.com/keyword/romantic-meals-for-two-at-home/900854455574)
date night meals at home (https://app.pinclicks.com/keyword/date-night-meals-at-home/901186816352)
date dinner ideas at home (https://app.pinclicks.com/keyword/date-dinner-ideas-at-home/919710489754)
healthy date night recipes (https://app.pinclicks.com/keyword/healthy-date-night-recipes/898575801227)
fun dinner ideas for couples (https://app.pinclicks.com/keyword/fun-dinner-ideas-for-couples/931762698490)
easy date night dinners at home (https://app.pinclicks.com/keyword/easy-date-night-dinners-at-home/956943395484)
fancy dinner at home (https://app.pinclicks.com/keyword/fancy-dinner-at-home/906693590105)
dinner for him (https://app.pinclicks.com/keyword/dinner-for-him/938050755560)
dinner date food (https://app.pinclicks.com/keyword/dinner-date-food/942513064777)
easy romantic dinner for two (https://app.pinclicks.com/keyword/easy-romantic-dinner-for-two/954409357106)"
901856150232,crockpot recipes for two,https://www.pinterest.com/ideas/crockpot-recipes-for-two/901856150232,5234,1,,
903861238065,quick dinner recipes for two,https://www.pinterest.com/ideas/quick-dinner-recipes-for-two/903861238065,1283,0,"food and drink (https://app.pinclicks.com/keyword/food-and-drink/918530398158)
meal planning and prep (https://app.pinclicks.com/keyword/meal-planning-and-prep/934748567864)","easy dinner ideas for 2 (https://app.pinclicks.com/keyword/easy-dinner-ideas-for-2/898014405231)
easy healthy dinner (https://app.pinclicks.com/keyword/easy-healthy-dinner/934418647454)
cheap dinners for a family (https://app.pinclicks.com/keyword/cheap-dinners-for-a-family/906162290957)
easy lunch ideas (https://app.pinclicks.com/keyword/easy-lunch-ideas/945266235222)
supper ideas (https://app.pinclicks.com/keyword/supper-ideas/905530904186)
quick and easy dinner ideas for two (https://app.pinclicks.com/keyword/quick-and-easy-dinner-ideas-for-two/938509597388)
healthy dinner recipes for two (https://app.pinclicks.com/keyword/healthy-dinner-recipes-for-two/936237766013)
lazy dinners (https://app.pinclicks.com/keyword/lazy-dinners/950074155675)
easy dinner recipes for family (https://app.pinclicks.com/keyword/easy-dinner-recipes-for-family/909729404599)
sheet pan dinners (https://app.pinclicks.com/keyword/sheet-pan-dinners/902269201694)"
904341034376,dinner recipes for two,https://www.pinterest.com/ideas/dinner-recipes-for-two/904341034376,83606,26186924,,
907957006810,easy dinner recipes for two healthy,https://www.pinterest.com/ideas/easy-dinner-recipes-for-two-healthy/907957006810,2734,0,food and drink (https://app.pinclicks.com/keyword/food-and-drink/918530398158),"simple healthy dinner ideas (https://app.pinclicks.com/keyword/simple-healthy-dinner-ideas/914761180109)
dinner ideas for two healthy (https://app.pinclicks.com/keyword/dinner-ideas-for-two-healthy/940240015477)
easy healthy meals for two (https://app.pinclicks.com/keyword/easy-healthy-meals-for-two/910210708610)
healthy dinner recipes for one (https://app.pinclicks.com/keyword/healthy-dinner-recipes-for-one/951765592438)
simple dinner recipes for two (https://app.pinclicks.com/keyword/simple-dinner-recipes-for-two/946496293711)
lazy dinners (https://app.pinclicks.com/keyword/lazy-dinners/950074155675)
healthy dinner ideas for one (https://app.pinclicks.com/keyword/healthy-dinner-ideas-for-one/919551214188)
easy healthy dinner recipes for family (https://app.pinclicks.com/keyword/easy-healthy-dinner-recipes-for-family/936882917064)
simple dinner ideas for two (https://app.pinclicks.com/keyword/simple-dinner-ideas-for-two/931593376342)
quick healthy dinner recipes for family (https://app.pinclicks.com/keyword/quick-healthy-dinner-recipes-for-family/893627935358)"
911048187503,recipes for two people,https://www.pinterest.com/ideas/recipes-for-two-people/911048187503,0,0,"food and drink (https://app.pinclicks.com/keyword/food-and-drink/918530398158)
meal planning (https://app.pinclicks.com/keyword/meal-planning/956336077278)","meals for two people (https://app.pinclicks.com/keyword/meals-for-two-people/895450591152)
2 person dinner recipes (https://app.pinclicks.com/keyword/2-person-dinner-recipes/927005566567)
food for one person (https://app.pinclicks.com/keyword/food-for-one-person/911148295378)
recipes for 1 person (https://app.pinclicks.com/keyword/recipes-for-1-person/932348544171)
recipes for 2 people dinner (https://app.pinclicks.com/keyword/recipes-for-2-people-dinner/917470099506)
recipes for one person (https://app.pinclicks.com/keyword/recipes-for-one-person/920315704303)
cooking for 2 (https://app.pinclicks.com/keyword/cooking-for-2/903180677703)
meals for 2 people dinners (https://app.pinclicks.com/keyword/meals-for-2-people-dinners/902217040628)
easy two person meals (https://app.pinclicks.com/keyword/easy-two-person-meals/901244977717)
easy 2 person meals (https://app.pinclicks.com/keyword/easy-2-person-meals/901612650292)"
920885383306,small casserole recipes for two,https://www.pinterest.com/ideas/small-casserole-recipes-for-two/920885383306,1082,0,,
923776880989,chicken recipes for two,https://www.pinterest.com/ideas/chicken-recipes-for-two/923776880989,1591,0,"food and drink (https://app.pinclicks.com/keyword/food-and-drink/918530398158)
meat (https://app.pinclicks.com/keyword/meat/894405216090)
chicken recipes (https://app.pinclicks.com/keyword/chicken-recipes/903385738557)","chicken dinner for two (https://app.pinclicks.com/keyword/chicken-dinner-for-two/937728319189)
simple chicken recipes (https://app.pinclicks.com/keyword/simple-chicken-recipes/895612429469)
best chicken recipes (https://app.pinclicks.com/keyword/best-chicken-recipes/935310401799)
cheap dinners for a family (https://app.pinclicks.com/keyword/cheap-dinners-for-a-family/906162290957)
lazy dinners (https://app.pinclicks.com/keyword/lazy-dinners/950074155675)
quick chicken recipes (https://app.pinclicks.com/keyword/quick-chicken-recipes/919937818375)
chicken recipes baked (https://app.pinclicks.com/keyword/chicken-recipes-baked/940856342792)
easy chicken breast recipes (https://app.pinclicks.com/keyword/easy-chicken-breast-recipes/953283124001)
easy chicken dishes (https://app.pinclicks.com/keyword/easy-chicken-dishes/959686216725)
easy healthy dinner (https://app.pinclicks.com/keyword/easy-healthy-dinner/934418647454)"
924776169716,recipes for two,https://www.pinterest.com/ideas/recipes-for-two/924776169716,9835,0,,
927337666787,dinner recipes for two healthy,https://www.pinterest.com/ideas/dinner-recipes-for-two-healthy/927337666787,1231,0,"health (https://app.pinclicks.com/keyword/health/898620064290)
diet and nutrition (https://app.pinclicks.com/keyword/diet-and-nutrition/899102674037)
diet (https://app.pinclicks.com/keyword/diet/904994552627)","simple healthy dinner ideas (https://app.pinclicks.com/keyword/simple-healthy-dinner-ideas/914761180109)
dinner ideas for two healthy (https://app.pinclicks.com/keyword/dinner-ideas-for-two-healthy/940240015477)
healthy easy dinner ideas (https://app.pinclicks.com/keyword/healthy-easy-dinner-ideas/945463942508)
healthy dinner recipes for one (https://app.pinclicks.com/keyword/healthy-dinner-recipes-for-one/951765592438)
easy healthy meals for two (https://app.pinclicks.com/keyword/easy-healthy-meals-for-two/910210708610)
lazy dinners (https://app.pinclicks.com/keyword/lazy-dinners/950074155675)
easy healthy dinner recipes for family (https://app.pinclicks.com/keyword/easy-healthy-dinner-recipes-for-family/936882917064)
healthy dinner for 2 (https://app.pinclicks.com/keyword/healthy-dinner-for-2/957332203415)
cheap dinners for a family (https://app.pinclicks.com/keyword/cheap-dinners-for-a-family/906162290957)
weeknight dinner ideas healthy (https://app.pinclicks.com/keyword/weeknight-dinner-ideas-healthy/900514630938)"
928712978698,dinner for two recipes,https://www.pinterest.com/ideas/dinner-for-two-recipes/928712978698,11013,0,,
932752380445,healthy recipes for two,https://www.pinterest.com/ideas/healthy-recipes-for-two/932752380445,1097,0,"health (https://app.pinclicks.com/keyword/health/898620064290)
diet and nutrition (https://app.pinclicks.com/keyword/diet-and-nutrition/899102674037)
diet (https://app.pinclicks.com/keyword/diet/904994552627)","dinner ideas for two healthy (https://app.pinclicks.com/keyword/dinner-ideas-for-two-healthy/940240015477)
healthy family recipes (https://app.pinclicks.com/keyword/healthy-family-recipes/895743516781)
easy healthy meals for two (https://app.pinclicks.com/keyword/easy-healthy-meals-for-two/910210708610)
healthy meals for one (https://app.pinclicks.com/keyword/healthy-meals-for-one/959541004904)
simple healthy meals (https://app.pinclicks.com/keyword/simple-healthy-meals/933621118318)
healthy meals for family (https://app.pinclicks.com/keyword/healthy-meals-for-family/901503511729)
quick dinner ideas for two (https://app.pinclicks.com/keyword/quick-dinner-ideas-for-two/960624212256)
healthy dinner recipes for one (https://app.pinclicks.com/keyword/healthy-dinner-recipes-for-one/951765592438)
quick healthy recipes (https://app.pinclicks.com/keyword/quick-healthy-recipes/912050894241)
meals for two people (https://app.pinclicks.com/keyword/meals-for-two-people/895450591152)"
936237766013,healthy dinner recipes for two,https://www.pinterest.com/ideas/healthy-dinner-recipes-for-two/936237766013,18894,0,"health (https://app.pinclicks.com/keyword/health/898620064290)
diet and nutrition (https://app.pinclicks.com/keyword/diet-and-nutrition/899102674037)
diet (https://app.pinclicks.com/keyword/diet/904994552627)","lazy dinners (https://app.pinclicks.com/keyword/lazy-dinners/950074155675)
healthy dinner ideas for family (https://app.pinclicks.com/keyword/healthy-dinner-ideas-for-family/933422970685)
healthy weeknight dinners (https://app.pinclicks.com/keyword/healthy-weeknight-dinners/900005377350)
healthy dinner recipes for family (https://app.pinclicks.com/keyword/healthy-dinner-recipes-for-family/952762128084)
easy dinner recipes for family (https://app.pinclicks.com/keyword/easy-dinner-recipes-for-family/909729404599)
healthy dinner ideas for two (https://app.pinclicks.com/keyword/healthy-dinner-ideas-for-two/930156829551)
easy dinner recipes for two (https://app.pinclicks.com/keyword/easy-dinner-recipes-for-two/941139928692)
cheap dinners for a family (https://app.pinclicks.com/keyword/cheap-dinners-for-a-family/906162290957)
healthy chicken recipes (https://app.pinclicks.com/keyword/healthy-chicken-recipes/932894657932)
quick dinner recipes for two (https://app.pinclicks.com/keyword/quick-dinner-recipes-for-two/903861238065)"
941139928692,easy dinner recipes for two,https://www.pinterest.com/ideas/easy-dinner-recipes-for-two/941139928692,96091,0,"food and drink (https://app.pinclicks.com/keyword/food-and-drink/918530398158)
prepared meals (https://app.pinclicks.com/keyword/prepared-meals/899128095379)
easy meal recipes (https://app.pinclicks.com/keyword/easy-meal-recipes/905695066176)","quick dinner ideas for two (https://app.pinclicks.com/keyword/quick-dinner-ideas-for-two/960624212256)
lazy dinners (https://app.pinclicks.com/keyword/lazy-dinners/950074155675)
easy dinner recipes for 2 (https://app.pinclicks.com/keyword/easy-dinner-recipes-for-2/904336476064)
dinner ideas for 2 (https://app.pinclicks.com/keyword/dinner-ideas-for-2/939663842637)
easy dinner recipes for family (https://app.pinclicks.com/keyword/easy-dinner-recipes-for-family/909729404599)
cheap dinners for a family (https://app.pinclicks.com/keyword/cheap-dinners-for-a-family/906162290957)
quick and easy dinner recipes (https://app.pinclicks.com/keyword/quick-and-easy-dinner-recipes/926234979767)
easy lunch ideas (https://app.pinclicks.com/keyword/easy-lunch-ideas/945266235222)
easy meals for two (https://app.pinclicks.com/keyword/easy-meals-for-two/925749336109)
sunday dinner ideas (https://app.pinclicks.com/keyword/sunday-dinner-ideas/940016777540)"
942706412676,small crockpot recipes for two,https://www.pinterest.com/ideas/small-crockpot-recipes-for-two/942706412676,3258,0,,
