Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
gluten free dessert recipes,Informational,90500,"0.01,0.01,0.01,0.01,0.13,0.03,0.09,0.20,0.30,1.00,0.44,0.66",23,0.13,0.47,"AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",132
gluten free pizza crust recipe,Informational,90500,"0.00,0.00,0.00,0.00,0.11,0.02,0.06,0.16,0.30,1.00,0.44,0.66",27,0.13,0.23,"Sitelinks, Reviews, Video, Video carousel, People also ask, Recipes, Related searches",5640
pink salt recipe,Informational,90500,"0.30,0.54,1.00,0.66,0.44,0.16,0.07,0.01,0.01,0.00,0.00,0.01",23,0.27,0.60,"Sitelinks, AI Overview, Video, People also ask, Recipes, Related searches",151
easy cuban recipes at home,Informational,74000,"0.13,1.00,0.24",20,0.00,0.00,"AI Overview, Reviews, Video, Video carousel, People also ask, Recipes, Related searches",158
easy polish recipes at home,Informational,74000,"0.13,1.00,0.00",23,0.00,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Recipes, Related searches",159
easy swedish recipes at home,Informational,74000,"0.13,1.00,0.67",21,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Recipes, Related searches",158
hot toddy recipe,"Informational, Commercial",74000,"0.11,0.06,0.06,0.09,0.12,0.30,0.55,1.00,0.55,0.24,0.12,0.11",29,0.11,0.22,"AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches",106
sourdough discard recipes,Informational,74000,"0.54,0.44,0.36,0.44,0.44,0.44,0.54,0.54,1.00,0.67,0.67,0.44",29,0.10,0.06,"Sitelinks, Video, Short videos, People also ask, Recipes, Related searches",131
christmas crack recipe,Informational,60500,"0.00,0.00,0.00,0.00,0.00,0.03,0.16,1.00,0.06,0.02,0.01,0.01",29,0.02,0.15,"Reviews, Video, Short videos, People also ask, Recipes, Related searches",106
easy dutch recipes at home,Informational,60500,"0.13,1.00,0.00",29,0.00,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Recipes, Related searches",159
ground chicken recipes,Informational,60500,"0.66,0.66,0.81,0.66,0.66,0.81,0.66,0.54,1.00,0.81,1.00,0.81",21,0.04,0.32,"AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",144
simple syrup recipe,Informational,60500,"0.67,0.55,0.67,0.55,0.36,0.36,0.55,1.00,0.45,0.36,0.45,0.45",26,0.01,0.26,"Sitelinks, AI Overview, Reviews, Video, Short videos, Recipes, Related searches",104
cottage cheese recipes,Informational,49500,"0.66,0.66,0.66,0.54,0.54,0.54,0.44,0.44,1.00,0.81,0.81,0.81",27,0.14,0.12,"AI Overview, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",126
hugo spritz recipe,Informational,49500,"0.36,0.44,1.00,0.67,0.36,0.30,0.24,0.36,0.20,0.24,0.54,0.54",29,0.16,0.12,"AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",130
tater tot casserole recipe,Informational,49500,"0.44,0.36,0.44,0.66,0.81,0.81,1.00,0.81,1.00,0.66,0.81,0.66",27,0.14,0.11,"Video, Short videos, People also ask, Recipes, Related searches",104
big mac sauce recipe,Informational,40500,"0.66,0.81,0.44,0.54,0.66,0.54,0.44,0.44,1.00,0.66,0.81,0.66",26,0.02,0.04,"Sitelinks, Reviews, Video, Short videos, People also ask, Recipes, Related searches",105
easy finnish recipes at home,Informational,40500,"0.44,0.00,1.00",15,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Recipes, Related searches",148
jerk chicken recipe,Informational,40500,"1.00,1.00,0.66,0.66,0.66,0.81,0.44,0.44,0.54,0.36,0.54,0.44",23,0.02,0.02,"Sitelinks, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",105
shredded chicken recipes,Informational,40500,"0.66,0.66,0.66,0.81,0.66,0.81,0.66,0.66,1.00,0.81,0.66,0.66",28,0.05,0.20,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",106
easy lasagna recipe,Informational,33100,"0.54,0.54,0.44,0.54,0.66,0.66,0.66,1.00,0.81,0.66,0.54,0.54",28,0.28,0.12,"Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",107
green tea shot recipe,Informational,33100,"0.81,0.66,0.66,0.81,0.66,0.81,0.81,1.00,0.81,0.66,1.00,0.81",29,0.31,0.01,"AI Overview, Video, Short videos, People also ask, Recipes, Related searches",123
grindstone recipe,Informational,33100,"0.54,0.44,0.44,0.44,0.36,0.54,0.81,0.81,1.00,0.44,0.44,0.36",26,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Related searches",102
halibut recipes,Informational,33100,"0.81,0.81,1.00,0.81,0.67,0.54,0.44,0.44,0.44,0.67,0.44,0.54",27,0.08,0.07,"Sitelinks, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",108
lemon drop recipe,Informational,33100,"0.67,0.67,0.54,0.54,0.44,0.67,0.67,1.00,0.81,0.81,0.81,1.00",23,0.15,0.15,"AI Overview, Reviews, Video, Short videos, People also ask, Recipes, Related searches",132
protein balls recipe,Informational,33100,"0.54,0.54,0.54,0.66,0.66,0.54,0.44,0.36,1.00,0.81,0.81,0.81",24,0.07,0.08,"Reviews, Video, Short videos, People also ask, Recipes, Related searches",105
turkey meatball recipe,Informational,33100,"0.81,0.66,0.66,0.81,0.81,0.81,0.81,0.66,1.00,0.81,0.81,0.81",24,0.17,0.04,"Reviews, Video, Short videos, People also ask, Recipes",107
bread machine recipes,Informational,27100,"0.36,0.54,0.44,0.36,0.44,0.54,0.66,0.66,1.00,0.54,0.44,0.36",29,0.11,0.19,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Recipes",161
ground pork recipes,Informational,27100,"0.67,0.67,0.82,0.82,0.82,0.82,0.82,0.55,1.00,0.82,0.82,0.82",26,0.04,0.35,"AI Overview, Reviews, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",122
kielbasa recipes,Informational,27100,"0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.00,0.67,0.81,0.67",29,0.30,0.04,"Sitelinks, AI Overview, Reviews, Video, Short videos, People also ask, Recipes, Related searches",133
pastina recipe,Informational,27100,"0.29,0.29,0.20,0.20,0.29,0.54,0.54,1.00,0.44,0.29,0.29,0.24",25,0.13,0.13,"Sitelinks, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",103
simple hotcake recipe,Informational,27100,"0.36,0.24,0.00,0.01,0.20,0.07,0.30,0.54,1.00,0.36,0.36,0.24",28,0.03,0.20,"AI Overview, Video, Short videos, People also ask, Recipes, Related searches",97
au jus recipe,Informational,22200,"0.13,0.11,0.13,0.13,0.13,0.16,0.29,1.00,0.24,0.20,0.16,0.20",21,0.02,0.04,"Sitelinks, Reviews, Video, Short videos, People also ask, Recipes, Related searches",106
cheesy potato recipe,Informational,22200,"0.16,0.13,0.13,0.16,0.16,0.16,0.66,1.00,0.20,0.20,0.24,0.54",28,0.16,0.08,"AI Overview, Reviews, Video, Short videos, People also ask, Recipes, Related searches",108
cheesy potatoes recipe,Informational,22200,"0.25,0.16,0.10,0.25,0.16,0.20,0.67,1.00,0.25,0.20,0.25,0.67",26,0.16,0.08,"Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches, Ads bottom",107
chicken wing recipes,Informational,22200,"0.54,0.44,0.54,0.36,1.00,0.54,0.36,0.44,0.44,0.54,0.36,0.30",25,0.17,0.15,"Reviews, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",106
cornish hen recipe,Informational,22200,"0.20,0.25,0.20,0.20,0.30,0.37,1.00,0.81,0.44,0.25,0.37,0.44",27,0.05,0.04,"Sitelinks, Reviews, Image, Video, Short videos, People also ask, Recipes, Related searches",106
gelatin recipe for weight loss,Informational,22200,"0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.20,1.00,0.67,0.09,0.24",16,0.71,0.33,"AI Overview, Video, People also ask, Recipes, Related searches",126
gin and tonic recipe,Informational,22200,"1.00,0.81,0.54,0.54,0.54,0.54,0.44,0.81,0.36,0.54,0.54,0.67",28,0.14,0.04,"AI Overview, Reviews, Video, People also ask, Recipes, Related searches",107
limoncello recipe,Informational,22200,"0.81,0.81,0.67,0.54,0.44,0.44,0.81,1.00,0.67,0.54,0.67,0.67",18,0.03,0.11,"AI Overview, Reviews, Video, Video carousel, People also ask, Recipes, Related searches",104
mango sticky rice recipe,Informational,22200,"1.00,1.00,0.81,0.67,0.44,0.44,0.36,0.44,0.44,0.67,1.00,1.00",22,0.04,0.04,"Sitelinks, Reviews, Video, Short videos, People also ask, Recipes, Related searches",106
nestle chocolate chip cookie recipe,Informational,22200,"0.29,0.29,0.44,0.54,0.36,0.44,0.44,1.00,0.66,0.54,0.44,0.44",22,0.19,0.01,"Reviews, Video, Recipes, Related searches",100
recipe book,Commercial,22200,"0.24,0.13,0.20,0.16,0.24,0.20,0.44,0.66,1.00,0.44,0.29,0.24",26,0.56,0.80,"Sitelinks, Video, People also ask, Recipes, Related searches, Popular products",198
skinny margarita recipe,Informational,22200,"1.00,0.81,0.81,0.66,0.44,0.44,0.36,0.44,0.44,0.54,0.54,0.66",28,0.26,0.18,"AI Overview, Reviews, Video, Short videos, People also ask, Recipes, Related searches",106
sourdough focaccia recipe,Informational,22200,"0.54,0.44,0.54,0.54,0.54,0.54,0.81,0.67,1.00,0.54,0.67,0.67",27,0.04,0.01,"Sitelinks, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",104
beer bread recipe,Informational,18100,"0.44,0.36,0.36,0.44,0.54,0.83,0.83,0.83,1.00,0.67,0.83,0.44",22,0.01,0.06,"Reviews, Video, Short videos, People also ask, Recipes, Related searches",107
burger sauce recipe,Informational,18100,"1.00,0.81,1.00,0.81,0.81,0.66,0.54,0.66,1.00,0.81,1.00,1.00",24,0.18,0.01,"Sitelinks, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",107
candied pecans recipe,Informational,18100,"0.10,0.08,0.08,0.10,0.10,0.13,0.44,1.00,0.16,0.08,0.10,0.10",25,0.10,0.07,"Video, Short videos, People also ask, Recipes, Related searches",106
cheeseburger soup recipe,Informational,18100,"0.08,0.05,0.07,0.13,0.29,0.66,0.66,0.81,1.00,0.44,0.29,0.20",25,0.12,0.05,"AI Overview, Reviews, Video, People also ask, Recipes, Related searches",108
country fried steak recipe,Informational,18100,"0.81,0.81,0.67,0.81,1.00,1.00,1.00,0.81,0.81,0.67,1.00,1.00",29,0.03,0.16,"Sitelinks, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",104
