Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
healthy dinner ideas for two,Informational,2400,"0.45,0.45,0.45,0.34,0.55,0.45,0.17,0.10,1.00,0.24,0.34,0.45",14,0.15,0.53,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Recipes, Related searches",140
dinner for two santa fe nm,"Informational, Transactional",1000,"0.45,0.55,0.45,1.00,1.00,0.81,0.81,1.00,0.81,1.00,0.81,0.81",17,0.40,0.12,"Sitelinks, Image, Video, Short videos, Knowledge panel, Related searches",109
quick recipes for two for dinner,Informational,1000,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00",23,0.20,0.48,"Sitelinks, AI Overview, Image, Video, Video carousel, Recipes, Related searches",1050000000
thanksgiving dinner for two,Informational,1000,"0.01,0.00,0.01,0.01,0.03,0.16,1.00,0.02,0.00,0.00,0.00,0.00",24,0.09,0.33,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Discussions and forums, Related searches",130
easy and healthy dinner recipes for two,Informational,880,"1.00,0.68,0.77,0.77,1.00,0.44,0.56,0.56,0.68,0.68,0.77,0.77",21,0.43,0.50,"AI Overview, Video, Video carousel, Recipes, Discussions and forums, Related searches",154
easter dinner for two,Informational,590,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.43",23,0.28,0.86,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Recipes, Related searches",124
healthy dinner for two,Informational,590,"0.36,0.36,1.00,0.25,0.30,1.00,0.18,0.07,0.30,0.55,0.25,0.18",18,0.15,0.53,"Sitelinks, AI Overview, Image, Video, People also ask, Recipes, Related searches",137
easy healthy dinner recipes for two,Informational,480,"0.54,0.29,0.29,0.29,1.00,0.54,0.24,0.37,0.37,0.76,0.54,0.54",23,0.43,0.50,"AI Overview, Image, Video, People also ask, Recipes, Related searches",619000000
romantic dinner for two at home,Informational,480,"0.17,0.24,0.17,0.28,0.28,0.28,0.28,0.34,0.55,1.00,0.24,0.34",23,0.12,0.45,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",176
romantic dinner ideas for two,Informational,480,"0.08,0.07,0.16,0.08,0.08,0.13,0.10,0.10,0.13,0.24,1.00,0.54",22,0.05,0.39,"Sitelinks, AI Overview, Image, Video, Video carousel, Recipes, Related searches",156
easy dinner for two recipes,Informational,390,"0.01,0.03,0.03,0.01,0.01,0.03,0.01,1.00,0.08,0.03,0.02,0.03",23,0.16,0.51,"Sitelinks, AI Overview, Video, Video carousel, Recipes, Related searches",134
chicken dinner for two,Informational,320,"0.66,0.66,0.81,0.29,0.66,0.43,0.54,0.54,1.00,0.81,0.54,0.66",20,0.10,0.46,"Sitelinks, AI Overview, Image, Video, Video carousel, Recipes, Related searches",712000000
dinner for two recipes healthy,Informational,320,"0.00,0.00,0.00,0.00,0.01,1.00,0.00,0.00,0.00,0.00,0.00,0.00",22,0.37,0.57,"AI Overview, Video, Video carousel, Recipes, Discussions and forums, Related searches",163
quick healthy dinner meals for two,Informational,320,"1.00,0.81,0.23,0.23,0.54,0.81,0.44,0.44,0.81,0.54,0.81,0.81",21,0.33,0.52,"AI Overview, Image, Video, Recipes, Related searches",514000000
texas roadhouse dinner for two,Informational,320,"0.13,0.24,0.20,0.30,0.16,0.24,0.13,0.67,1.00,0.55,0.24,0.24",19,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",6280000
candlelight dinner for two,Informational,260,"0.54,1.00,0.19,0.29,0.23,0.19,0.09,0.12,0.15,0.09,0.06,0.04",12,0.00,0.02,"AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",143
dinner for two santa fe menu,Informational,260,"1.00,0.81,0.81,0.65,0.81,0.81,1.00,0.81,0.81,0.81,0.81,0.81",23,0.00,0.02,"AI Overview, Reviews, Video, People also ask, Knowledge panel, Related searches",107
easy chicken dinner for two,Informational,260,"1.00,0.27,1.00,1.00,0.33,1.00,0.82,0.82,0.82,0.44,0.53,0.53",22,0.14,0.42,"AI Overview, Image, Video, Recipes, Discussions and forums, Related searches",559000000
quick healthy dinner ideas for two,Informational,260,"0.81,0.67,0.53,0.81,0.67,0.81,0.43,0.67,0.81,0.53,0.81,1.00",20,0.15,0.55,"AI Overview, Video, Video carousel, Recipes, Related searches",147
romantic dinner recipes for two,Informational,260,"0.64,0.28,0.81,0.53,0.42,1.00,0.11,0.14,0.33,0.53,0.33,0.19",19,0.05,0.50,"AI Overview, Image, Video, Video carousel, Recipes, Related searches",31100000
