Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
magic mouthwash recipe,Informational,6600,"0.81,0.81,1.00,1.00,0.81,0.81,0.44,0.44,0.54,0.44,0.44,0.66",8,0.65,0.33,"AI Overview, Video, People also ask, Related searches",125
what is the gelatin weight loss recipe,Informational,6600,"0.00,0.00,0.00,0.00,0.00,0.05,0.08,0.44,1.00,0.66,0.36,0.54",10,0.62,0.21,"AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",125
bariatric seed recipe,Informational,2900,"0.24,1.00,0.44,0.03,0.01,0.01,0.00,0.00,0.01,0.04,0.00,0.00",8,0.78,0.02,"Sitelinks, AI Overview, Video, People also ask, Recipes, Related searches",104
boneless wings recipe,Informational,2900,"0.43,0.36,0.28,0.36,0.24,0.24,0.43,0.28,1.00,1.00,0.66,0.66",10,0.94,0.16,"Sitelinks, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",106
dash ice cream maker recipes,Informational,2400,"0.43,0.54,0.81,0.54,0.36,0.36,0.36,1.00,0.81,0.36,0.36,0.36",10,0.68,0.01,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",163
idleon recipes,Informational,2400,"0.53,0.53,0.66,0.08,0.10,0.44,0.35,1.00,0.24,0.10,0.66,0.02",4,6.73,0.33,"Sitelinks, Video, Video carousel, Discussions and forums, Related searches",114
beef neck bones recipe,Informational,1900,"0.85,0.52,0.68,1.00,1.00,1.00,1.00,1.00,1.00,0.85,0.85,1.00",9,0.99,0.01,"Video, Video carousel, Short videos, People also ask, Recipes, Related searches",102
einkorn sourdough bread recipe,Informational,1900,"0.55,0.55,0.55,0.44,0.44,0.55,0.55,0.82,1.00,0.65,0.65,0.65",9,0.53,0.13,"Sitelinks, Reviews, Video, Video carousel, People also ask, Recipes, Related searches",106
anaheim pepper recipes,Informational,1600,"0.22,0.35,0.65,1.00,0.65,0.54,0.22,0.15,0.22,0.15,0.15,0.19",10,0.53,0.01,"Sitelinks, AI Overview, Video, People also ask, Recipes, Related searches",106
drink recipes jack daniels,Informational,1600,"0.80,1.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.53,0.67,1.00",7,1.25,0.97,"AI Overview, Video, Video carousel, Recipes, Related searches",111
frank's redhot buffalo chicken dip recipe,Informational,1600,"0.01,0.05,0.29,0.08,0.18,0.18,0.66,0.29,1.00,0.53,0.08,0.05",8,0.56,0.02,"Video, Video carousel, Recipes, Related searches",176
vegan french toast recipe,Informational,1600,"0.84,0.68,0.84,0.84,0.68,0.84,0.84,1.00,0.84,0.68,0.68,0.68",8,2.58,0.01,"Sitelinks, Video, Video carousel, People also ask, Recipes, Related searches",108
orange chicken recipe with orange marmalade,Informational,1300,"0.41,0.30,0.41,0.36,0.41,0.36,0.54,0.54,1.00,0.66,0.79,0.54",8,0.51,0.01,"Sitelinks, Video, People also ask, Recipes, Related searches",145
pcos friendly recipes,Informational,1300,"0.36,0.44,1.00,1.00,0.44,0.24,0.24,0.24,0.36,0.20,0.13,0.24",9,1.65,0.40,"Sitelinks, AI Overview, Video, Recipes, Related searches",135
recipes and wine,Informational,1300,"0.68,0.84,0.05,0.25,0.68,0.68,1.00,1.00,0.68,0.68,0.68,0.84",8,1.06,0.05,"AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",132
taco recipe indian,Informational,1300,"0.44,0.55,0.03,0.24,0.44,0.44,0.34,0.34,0.44,0.55,1.00,0.82",10,0.94,0.01,"Sitelinks, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",106
texas roadhouse ranch recipe,Informational,1300,"0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.81,0.81",7,0.64,0.02,"Sitelinks, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",58
banana bread recipe without baking soda,Informational,1000,"0.46,0.08,0.37,0.68,0.84,0.84,0.84,0.84,1.00,0.68,0.68,0.68",9,0.66,0.01,"Sitelinks, AI Overview, Video, People also ask, Recipes, Related searches, Ads bottom, Ads middle",143
big mac in a bowl recipe,Informational,1000,"0.34,0.30,0.20,0.44,0.34,0.34,0.30,0.13,1.00,0.44,0.55,1.00",8,0.55,0.02,"Sitelinks, Video, People also ask, Recipes, Related searches",106
chocolate chip cookie recipe without baking soda,Informational,1000,"0.46,0.38,0.46,0.38,1.00,0.84,0.52,1.00,0.68,0.38,0.38,0.38",8,0.67,0.01,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",129
chocolate chip cookie recipe without eggs,Informational,1000,"0.30,0.41,0.36,0.41,0.55,0.41,0.36,1.00,0.41,0.30,0.36,0.30",6,0.64,0.02,"Sitelinks, Video, Video carousel, People also ask, Recipes, Related searches",142
crazy feta recipe,Informational,1000,"0.76,0.76,0.76,0.76,0.67,0.55,0.55,0.55,1.00,0.67,0.67,0.67",10,1.02,0.03,"Sitelinks, Reviews, Video, People also ask, Knowledge panel, Recipes, Related searches",116
crown royal blackberry recipes,Informational,1000,"1.00,0.77,0.77,0.77,0.45,0.45,0.68,1.00,0.36,0.30,0.25,0.25",8,1.07,0.25,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Recipes, Related searches",702000
diy goop recipe,Informational,1000,"0.68,1.00,0.05,0.25,0.68,0.68,0.84,0.68,0.68,0.68,0.84,0.84",7,0.58,0.39,"AI Overview, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",110
fresh milled flour bread recipe,Informational,1000,"0.24,0.20,0.24,0.36,0.41,0.36,0.54,0.54,1.00,0.79,0.54,0.54",4,0.86,0.02,"Sitelinks, Video, Video carousel, People also ask, Recipes, Related searches",104
fry bread taco recipe,Informational,1000,"0.30,0.24,0.34,0.24,0.34,0.34,0.34,0.30,0.44,0.34,0.55,1.00",7,0.91,0.33,"Video, Video carousel, People also ask, Recipes, Related searches",107
garbanzo bean flour recipes,Informational,1000,"0.52,0.38,0.52,0.25,0.52,0.68,0.30,0.20,1.00,0.38,0.46,0.52",10,0.57,0.01,"Video, People also ask, Recipes, Related searches",106
nutritionally complete homemade dog food recipes pdf,Informational,1000,"0.62,0.62,0.81,1.00,0.81,0.55,0.55,0.55,0.62,0.62,0.62,0.55",5,0.95,0.88,"Sitelinks, AI Overview, Video, People also ask, Recipes, Related searches",121
raspberry margarita recipe,Informational,1000,"1.00,1.00,1.00,0.77,0.68,0.56,0.56,0.68,0.77,0.77,0.77,1.00",8,0.80,0.15,"Sitelinks, Video, Video carousel, People also ask, Recipes, Related searches",129
recipes heartumental,Informational,1000,"0.28,0.04,0.07,1.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.04",0,0.53,0.99,"AI Overview, Image, Video, People also ask, Recipes, Related searches",1890
