Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
sourdough starter smelling like acetone,Informational,260,"0.26,0.21,0.14,0.72,1.00,0.14,0.11,0.11,0.11,0.05,0.11,0.07",4,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",47
why does my sourdough starter smell like acetone,Informational,390,"0.32,0.32,0.14,0.32,0.26,0.39,0.17,0.32,0.88,1.00,0.48,0.32",4,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",48
can you overfeed sourdough starter,Informational,320,"0.36,0.36,0.29,0.29,0.36,0.23,0.54,0.54,1.00,0.66,0.44,0.36",2,0.00,0.33,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches",53
can you bake sourdough without a dutch oven,Informational,390,"0.54,0.54,0.34,0.43,0.54,0.81,0.81,1.00,1.00,0.81,0.81,0.66",5,0.00,0.01,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches",62
how to make sourdough bread more sour,Informational,480,"0.36,0.16,0.16,0.24,0.24,0.20,0.55,0.20,1.00,0.30,0.24,0.30",5,0.05,0.04,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Recipes, Related searches",66
how to strengthen my sourdough starter,Informational,210,"0.43,0.43,0.43,0.43,0.53,0.65,0.65,0.65,1.00,1.00,0.81,0.65",4,0.02,0.14,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",79
brian lagerstrom sourdough,Informational,210,"0.80,0.53,0.65,0.53,0.65,1.00,0.80,0.80,1.00,0.80,0.65,0.65",3,0.00,0.33,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Recipes, Related searches",81
how to make sourdough without a dutch oven,Informational,320,"0.43,0.35,0.43,0.43,0.54,0.54,0.81,0.81,1.00,0.81,0.66,0.54",5,0.00,0.02,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Recipes, Related searches",81
garlic parmesan sourdough,Informational,170,"0.42,0.42,0.65,0.42,0.42,0.53,0.65,1.00,0.80,1.00,0.80,0.80",5,0.00,0.01,"Sitelinks, Reviews, Image, Video, People also ask, Recipes, Related searches",98
sourdough discard pretzel bites recipe,Informational,390,"0.05,0.02,0.03,0.02,0.04,0.07,0.07,0.08,0.37,0.52,1.00,0.46",4,0.00,0.33,"Sitelinks, Video, People also ask, Recipes, Related searches",100
sourdough garlic pull apart bread,Informational,390,"0.35,0.44,0.35,0.35,0.44,0.44,0.66,1.00,0.66,0.66,0.35,0.35",0,0.00,0.01,"Sitelinks, Image, Video, Recipes, Related searches",100
sourdough starter feeding ratio calculator,Informational,210,"0.02,0.15,0.15,0.15,0.09,0.15,0.36,0.19,0.54,0.44,1.00,1.00",2,0.00,0.33,"Video, Video carousel, Short videos, People also ask, Related searches",103
cinnamon focaccia sourdough,Informational,390,"0.54,0.44,0.29,0.29,0.36,0.44,0.54,1.00,0.67,0.54,0.44,0.36",4,0.00,0.33,"Sitelinks, Image, Video, Video carousel, People also ask, Recipes, Related searches",105
serenity sourdough,Commercial,170,"0.80,0.80,0.52,1.00,0.52,0.80,0.80,0.66,1.00,0.80,0.80,1.00",5,0.00,0.01,"Video, Video carousel, Local pack, Related searches",105
sourdough discard garlic bread,Informational,320,"0.35,0.35,0.35,0.35,0.35,0.44,0.54,0.81,1.00,0.81,0.28,0.35",4,0.00,0.00,"Sitelinks, Image, Video, Recipes, Related searches",105
freezing sourdough dough,Informational,170,"0.82,0.66,0.82,0.66,0.82,0.66,1.00,1.00,1.00,0.66,0.66,0.52",5,0.00,0.33,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches",106
high altitude sourdough recipe,Informational,210,"0.53,0.53,0.53,0.65,0.81,0.65,0.81,0.81,1.00,0.65,0.43,0.34",4,0.00,0.33,"Sitelinks, AI Overview, Video, Recipes, Related searches",106
pumpkin chocolate chip sourdough bread,Informational,210,"0.02,0.03,0.05,0.29,1.00,0.81,0.44,0.10,0.05,0.05,0.04,0.03",4,0.00,0.00,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Recipes, Related searches",106
